,Province,N_Route
0,Rabat,29796
1,Sale,38326
2,Skhirat,2908
3,Temara,8630
4,Khemisset,7238
5,Prefecture of Casablanca,108666
6,Mohammedia,11026
7,Fès Province,45836
8,Sefrou,4006
9,Boulmane,8448
10,Meknès Province,26220
11,El Hajeb,2624
12,Ifrane,2510
13,province de Khenifra,15084
14,Errachidia,8204
15,Préfecture de Marrakech,82158
16,Chichaoua,2368
17,Kelâat Es-Sraghna,6454
18,Essaouira Province,17512
19,Préfecture de Agadir,42348
20,Inezgane,6180
21,Aït Melloul,8974
22,Chtouka – Aït Baha Province,37530
23,Taroudant Province,42932
24,Tiznit Province,28420
25,Ouarzazate Province,19910
26,Zagora Province,27234
27,Prefecture of Tangier,56596
28,Larache Province,9814
29,Ksar El Kebir Province,3776
30,Chefchaouen Province,4828
31,Tetouan Province,17320
32,El Hoceima Province,15748
33, Province de Taza اقليم تازة,12860
34,Taounate Province,1432
35,Préfecture d'Oujda-Angad,67480
36,Province de Berkane إقليم بركان,31524
37,Province de Nador إقليم الناظور,44206
38,Province de Taourirt إقليم تاوريرت,16018
39,Province de Jerada إقليم جرادة,6456
40,Province de Figuig إقليم الناظور,14996
41,Province de Safi إقليم أسفي,35408
42,El Jadida Province,39924
43,Settat Province,19772
44, Province de Khouribga إقليم خريبكة,26624
45, Province de Benslimane إقليم بن سليمان,14286
46, Province de Kenitra إقليم القنيطرة,38660
47, Province de Sidi Kacem إقليم سيدي قاسم,6140
48, Province de Beni Mellal إقليم بني ملال,35740
49,Province d'Azilal إقليم أزيلال,14504
50,Province d'Es-Semara إقليم السمارة,16326
51,Guelmim Province,15256
52,Province de Tan-Tan إقليم طانطان,7632
53,Tata Province,14018
54,Assa-Zag Province,4282
55,Laâyoune Province,19650
56,Boujdour Province,10968
57,Province d'Aousserd إقليم أوسرد,15132
58,cercle de Hrara,3812
59,Médiouna Province,10518
60, Préfecture de M'diq-Fnideq عمالة المضيق الفنيدق,13568
61,Province de Driouch إقليم الدريوش,7942
62,Guercif Province,4350
63,Ouazzane Province,1416
64,Province de Sidi Slimane إقليم سيدي سليمان,4536
65, Province de Midelt إقليم ميدلت,17908
66,Berrechid Province,25842
67,Province de Sidi Bennour إقليم سيدي بنور,12984
68,Rhamna Province,7636
69,Province de Fquih Ben Saleh إقليم الفقيه بن صالح,17978
70, Province de Youssoufia إقليم اليوسفية,5888
71, Province de Tinghir إقليم تنغير,25560
72,Sidi Ifni Province,24324
73,Tarfaya Province,5630
